Обозначение	D-d	Ход	Установочный размер	Технические особенности	Область применения	Подвод	Монтажно-конструктивные особенности	Применяемость
КГЦ1074.32-25-900	32-25	900	1070	Гидрозамок	МТЗ	2 отв. G3/8?	Проуш. S=25 с ШС20	"Гидроцилиндр для манипулятора ГМ-100 производства  ОАО ""МТЗ"""
КГЦ1078.120-80-1060	120-80	1060	1590		Амкодор	Колодки фланцевого зажима	см. чертеж.	"Гидроцилиндр подъёма/опускания ковша экскаватора XC231LC пр-ва ОАО ""Амкодор"""
КГЦ1079.125-63-950	125-63	950	1300		Амкодор	2 отв. G3/4?	Втулки  D=80 мм	Гидроцилиндр рукояти манипулятора АМКОДОР-KН24010
КГЦ1081.140-100-795	140-100	795	1455		Амкодор	2 отв. G3/4?	Втулки  D=80 мм и  D=90 мм	Гидроцилиндр стрелы манипулятора KН24010 производства АМКОДОР
КГЦ1082.110-40-1000	100-40	1000	1275		Спецтехника	2 отв. М20?1.5	"Проуш. S=30 с ШС30; М30х2"	"Гидроцилиндр гидрораскрепителя для буровых установок БАРС-40; -50; -80; -100"
КГЦ1084.80-80-66	80-80	66	919	Плунжерный	Амкодор	1 отв. М16?1.5	см. чертеж	"Гидроцилиндр натяжителя бульдозера  ОАО ""Амкодор"""
КГЦ1085.80-40-200	80-40	200	555		Амкодор-Семаш	2 отв. М27?2	Проуш. S=45 с ШС40	Гидроцилиндр для вил с прижимом 352С.45.41.000
КГЦ1086.80-40-180	80-40	180	600	двухсторонний	Амкодор-Унимод	2 отв. G3/8?	2 отв. М22?1.5	"Гидроцилиндр управления однобалочным мостом форвадера/харвестера 8У пр-ва ОАО ""Амкодор-Унимод"""
КГЦ1087.140-80-597	140-80	597	950		Амкодор	2 отв. G3/4?	Втулки D=70	Гидроцилиндр стрелы манипулятора KF14080
КГЦ1088.125-80-840	128-80	840	1159		Амкодор	2 отв. G3/4?	Втулки  D=60 мм и  D=70 мм	Гидроцилиндр рукояти манипулятора АМКОДОР-KF14080
КГЦ1089.4-140-3500	140-120-100-80	3500	1200	двухсторонний	Спецтехника	"отв. G1/2?; G3/4?"	 Проуш. с ШС35 S=30	"Гидроцилиндр выталкивающей плиты мусоровоза КО-440-V1 для АО ""КОММАШ"" г. Арзамас"
КГЦ1092.70-36-570	70-36	570	825		Амкодор	2 oтв. G1/2?	Втулки D=40	"гидроцилиндр рукояти манипулятора KF3052 пр-ва ""Амкодор-УКХ"""
КГЦ1093.100-40-415	100-40	415	747		Амкодор	2 oтв. G1/2?	Втулки D=40	"гидроцилиндр стрелы манипулятора KF3052 пр-ва ""Амкодор-УКХ"""
КГЦ1094.5-120-1030	120-105-95-75-60	1030	375,5			К1/2'' ГОСТ 6111-52	Цапфы d=45, сфера d=58	Гидроцилиндр подъёма кузова автомобилей МАЗ-6501С9-8525-000 и МАЗ-65012J-8535-000 (семечковозы)
КГЦ1096.125-70-580	125-70	580	1010		Амкодор	2 штуц. М26?1.5	Втулки D=70	"гидроцилиндр рукояти манипулятора АМКОДОР-KF10080 манипулятора KН15010 пр-ва ""Амкодор-УКХ"""
КГЦ1097.80-40-255	80-40	255	572		Амкодор	2 oтв. G1/2?	Втулки  D=40 мм и  ШС40	"Гидроцилиндр подъема/опускания стрелы манипулятора KH3052 пр-ва ОАО ""АМКОДОР"" - УКХ"""
КГЦ1098.55-36-2170	55-36	2170	2935		Амкодор	2 oтв. G1/2?	"Проуш. S=38 с ШС35; втулка D=30 мм"	"гидроцилиндр телескопической стрелы манипулятора KH15010 производства ОАО ""АМКОДОР"""
КГЦ1099.160-90-510	160-90	510	840		Амкодор	2 отв. G3/4?	Втулки  D=70 мм	"Гидроцилиндр стрелы анипулятора KН15010 пр-ва ""Амкодор-УКХ"""
КГЦ1100.125-80-1300	125-80	1300	1757		Спецтехника	2 отв. М27?1.5	Проуш. S=65 мм с отв. D=90 мм	"Гидроцилиндр ООО ""Строймашсервис"""
КГЦ1102.95-63-1200	95-63	1200	660		Амкодор	Колодка фланцевого зажима	"Проуш. S=50 мм с ШС50; цапфы D=50"	"Гидроцилиндр подъема отвала  для бульдозера ""АМКОДОР DC250"""
 КГЦ1112.40-28-210	40-28	210	1000	двухсторонний	МТЗ	2 отв. М16?1.5	2 отв. М12	"Гидроцилиндр поворота патрубка снегоочистителя СТ-1500 ОАО"" МТЗ"""
КГЦ1120.50-30-1610	50-30	1610	1828		МТЗ	2 штуц. М20?1.5	Втулки D=32	Гидроцилиндр манипулятора ГМ50.75
КГЦ1121.90-90-538	90-90	538	650	Плунжерный	МТЗ	1 отв. G1/2?	см. чертеж	Гидроцилиндр манипулятора ГМ50.75
КГЦ1126.90-90-66	90-90	66	1147	Плунжерный	Амкодор	1 отв. М16?1.5	см. чертеж	"Гидроцилиндр натяжного уcтройства бульдозера DC250 для ОАО ""АМКОДОР"""
КГЦ1128.100-50-250	100-50	250	450		МТЗ	2 отв. М20?1,5	см. чертеж	Гидроцилиндр подъема задней навески для тракторов БЕЛАРУС серий МТЗ-1500, 2000, 2100
КГЦ80.45-280	80-45	280	580	Унифицированный		2 отв. М20?1.5	Проуш. с ШС40 S=40	
КГЦ80.50-160	80-50	160	460	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС40 S=40	Управление изменением движения комбайна ПКC-8 
КГЦ80.50-200	80-50	200	500	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС40 S=40	Подъем балки сажалки картофельной СК-4
КГЦ80.50-250	80-50	250	550	Унифицированный	Коммунальная	2 отв. М20?1.5	Проуш. с ШС40 S=40	Рулевое управление катка А-6712А.
КГЦ80.50-250-01	80-50	250	480	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС40 S=40	"для полуприцепов ПМФ-18 и ПМФ-20 для ОАО ""Амкодор-Семаш"""
КГЦ80.50-280	80-50	280	580	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС40 S=40	Упаковщик силосно-сенажной массы УСМ
КГЦ80.50-320	80-50	320	620	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС40 S=40	Подъем грейферного ковша
КГЦ80.50-360	80-50	360	660	Унифицированный	Коммунальная	2 отв. М20?1.5	Проуш. с ШС40 S=40	Управление изменением движения комбайна ПКС-8. Рулев. управлен. катков: А-6622, А-6631, А-6641 
КГЦ80.50-400	80-50	400	700	Унифицированный	Экскаваторы	2 отв. М20?1.5	Проуш. с ШС40 S=40	К-78, ОКН
КГЦ80.50-500	80-50	500	800	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС40 S=40	Измел. рулонов грубых кормов ИГК-5М
КГЦ80.50-560	80-50	560	860	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС40 S=40	
КГЦ80.50-630	80-50	630	930	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС40 S=40	Подъем платф. транспортировщика ТП-10
КГЦ80.50-710	80-50	710	1010	Унифицированный	Погрузчики	2 отв. М20?1.5	Проуш. с ШС40 S=40	Подъем стрелы погрузчиков А-702Е-01, А-704. Управление изменением движения комбайна ПКC-8
КГЦ80.50-800	80-50	800	1100	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС40 S=40	Подъем платф. транспортировщика ПСТ-6
КГЦ80.50-1000	80-50	1000	1300	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС40 S=40	
КГЦ80.50-1265	80-50	1265	1595	Унифицированный	Автогрейдеры	2 отв. М20?1.5	Проуш. с ШС40 S=40	Выдвижение опоры автогидроподъемника ПМС-328
КГЦМ35.50-32-180	50-32	180	430	Унифицированный		2 отв. К3/8	Проуш. с ШС25 S=28	Управление желобом снегоочистителя СНФ-200
КГЦМ35-01.50-32-250	50-32	250	500	Унифицированный		2 отв. К3/8	Проуш. с ШС25 S=28	Подъем рабочего органа снегоочистителя СНФ-200
КГЦМ35-03.50-32-630	50-32	630	890	Унифицированный		2 отв. К3/8	Проуш. с ШС25 S=28	Поворот кожуха ротора снегоочистителя ДЭ-226
КГЦМ50-32-200-05	50-32	200	450	Унифицированный	Сельхозтехника	2 отв. М16?1.5	Проуш. с ШС25 S=28	Различные виды сельхозтехники
КГЦМ50-32-250-06	50-32	250	500	Унифицированный	Сельхозтехника	2 отв. М16?1.5	Проуш. с ШС25 S=28	Различные виды сельхозтехники
КГЦМ50-32-320-07	50-32	320	570	Унифицированный	Сельхозтехника	2 отв. М16?1.5	Проуш. с ШС25 S=28	Различные виды сельхозтехники
КГЦМ63.32-400	63-32	400	660	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС25 S=28	Различные виды сельхозтехники
КГЦ63-40-160	63-40	160	420	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС30 S=28	Различные виды сельхозтехники
КГЦ63-32-320-03	63-32	320	580	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС25 S=28	Косилка АС
КГЦ63-32-430А	63-32	430	680	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС30 S=28	Отвал передний и выдвижной поворотный на МТЗ-80/82 и МТЗ-1221.
КГЦ63-40-250-02	63-40	250	510	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС30 S=28	Различные виды сельхозтехники
КГЦ63-40-320-03	63-40	320	580	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС30 S=28	Различные виды сельхозтехники
КГЦ63-40-400-04	63-40	400	660	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС30 S=28	Различные виды сельхозтехники
КГЦ63-40-500-05	63-40	500	760	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС30 S=28	Различные виды сельхозтехники
КГЦ63-40-560-06	63-40	560	820	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС30 S=28	Различные виды сельхозтехники
КГЦ63-40-630-07	63-40	630	890	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС30 S=28	Различные виды сельхозтехники
КГЦ63-40-800-09	63-40	800	1060	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС30 S=28	Различные виды сельхозтехники
КГЦ63-40-1000-11	63-40	1000	1260	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС30 S=28	Различные виды сельхозтехники
КГЦ63-40-400-12	63-40	400	660	Унифицированный	Могилёвтрансмаш	2 отв. G3/8?	Проуш. с ШС30 S=28	Для мусоровозов с задней загрузкй типа МАЗ-5904 
МКС-4531.63.900Б	100-63	880	1250		Спецтехника	2 отв. М18?1.5	Проуш. с ШС50 S=42 	Цилиндр источника сейсмических сигналов вибрации  СВ 30120.
МЛ131-0401100-А3	100-63	170	520		МТЗ	2 отв. М14?1.5	Проуш. с ШС50 с защитой	Гидроцилиндр блокировки шарнира лесной машины МЛ-131.
МЛ131-0401200-Б	100-63	320	685		МТЗ	2 отв. М24?1.5	Проуш. с ШС50 с защитой	Поворот лесной машины МЛ-131.
П12-0400100	80-40	560	925		МТЗ	2 отв. М20?1.5	Проуш. с ШС40 с защитой	Подъем стрелы фронтального погрузчика БЕЛАРУС 920 П12. 
П12-0400100-01	80-40	560	925		МТЗ	2 отв. М20?1.5	Проуш. с ШС40 с защитой	
Т17-4607150	63-32	320	890		МТЗ	2 отв. М20?1.5	Проуш. с ШС30 с защитой	Подъема отвала толкателя машин МПР 1221, ТТР 401М.
ТО-18А.06.01.000	125-60	400	1040		Погрузчики	2 штуц. М33?2	Отв. D=90	Подъем ковша погрузчика ТО-18А.
ТО-18А.06.03.000	125-60	710	1125		Погрузчики	2 штуц. М33?2	Отв. D=90	Подъем стрелы погрузчика ТО-18А.
У4564.200АМ-25	80-50	250	615		Сельхозтехника	2 отв. М27?2	Проуш. с ШС40 S=35	Плуги ППО-5-40, ППО-4-40
У4564.200АМ-29	80-45	400	765		Погрузчики	2 отв. М27?2	Проуш. с ШС40 S=35	Погрузчик ТО-18А
У4564.200АМ-32	80-50	560	925			2 отв. М27?2	Проуш. с ШС40 S=35	
У4564.200АМ-37	80-50	1000	1365			2 отв. М27?2	Проуш. с ШС40 S=35	
Ц22АК.100-80-500	100-80	500	855		Спецтехника	"М14?1,5; М33?2"	см. чертеж	"Выдвижение опор автокрана ""Ивановец""."
Ц22АК-01.100-80-650	100-80	650	1005		Спецтехника	"М14?1,5; М33?2"	см. чертеж	"Выдвижение опор автокрана ""КС-3577""."
Ц22АК-02.100-80-800	100-80	800	1155		Спецтехника	"М14?1,5; М33?2"	см. чертеж	"Выдвижение опор автокрана ""КС-3577""."
Ц40х160.010	40-20	160	350		МТЗ	2 отв. М14?1.5	Проуш. с ШС20 S=20 	Рулевое управление BELARUS-320.4/422
Ц40х160.010-01	40-20	160	450		МТЗ	2 отв. М14?1.5	Проуш. с ШС20 S=20 	Рулевое управление BELARUS-311/М (4х4)
Ц40х100.010	40-20	100	290		МТЗ	2 отв. М14?1.5	Отв. D=20	Подъем отвала BELARUS-320/МСУ622/ОТ18/ОТ20
Ц40х70.010	40-20	70	260		МТЗ	2 отв. М14?1.5	Отв. D=20	Управление коробкой передач BELARUS ТТР 401М, МПТ 441
Ц50-3405215-А	50-25	200	405		МТЗ	2 отв. G3/8	Проуш. с ШС25 S=28	Рулевое управление BELARUS-1221/1523/1222.3
Ц50-3405215-А-01	50-25	200	405		МТЗ	2 отв. G3/8	Проуш. с ШС25 S=28	Рулевое управление BELARUS-800/900 с ПВМ-72
Ц50-3405215-А-02	50-25	250	455		МТЗ	2 отв. G3/8	Проуш. с ШС25 S=28	Рулевое управление BELARUS-2022/1523/921
Ц50х120.010-А	50-25	120	350		МТЗ	2 отв. М14?1.5	Отв. D=22	Навеска мини-трактора BELARUS-320.4/М/ 321/М
Ц63-3405115-А	63-30	200	415		МТЗ	2 отв. G3/8	Проуш. с ШС30 с защитой	Оборудование уборочное лесохозяйственное BELARUS ОУЛ
Ц63-3405115-А-01	63-30	200	415		МТЗ	2 отв. G3/8	Проуш. с ШС30 с защитой	Рулевое управление BELARUS-1025 с ПВМ-72
Ц63-3405115-А-02	63-30	200	415		МТЗ	2 отв. G3/8	Проуш. с ШС30 с защитой	Рулевое управление BELARUS-800/900/1000/Л82.2/922/923/82.3
Ц63-3405115-А-03	63-30	250	465		МТЗ	2 отв. G3/8	Проуш. с ШС30 с защитой	Рулевое управление BELARUS-300/3500
